Product Code	Product Name	consumption	adjusted_consumption
RH0001	Condom Latex Female (1) Other  	22722	23031
RH0002	Condoms Latex Male (144 pieces) Other  	374155	447801
RH0003	Condoms Latex Male (100 pieces) Other  	72680	73028
RH0004	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg Tab Blister of 28 tabs (3) Other  	287844	292187
RH0005	Levonorgestrel Implant (Jadelle)  750mcg/rod Sub-dermal (10) Other  	20619	21157
RH0006	IUD Copper T  380A  piece (1) Other  	6817	6986
RH0007	Levonorgestrel (Microlut)  0.03mg tablets  cycle (1) Other  	334	0
RH0008	Levonogestrel 0.75mg tab (Emergency pill) (2) Other  	50075	51038
RH0009	Medroxyprogesterone Acetate 150mg/ml inj (200) Other  	3022	0
RH0010	norethisterone Enanthate   200mg/ml Injection  1ml amp (100) Other  	78968	86889
RH0012	Medroxyprogesterone Acetate 10mg tablet (150) Other  	1	0
RH0013	IUD COPPER T  380A  piece (25) Other  	0	0
RH0015	Levonogestrel 0.03mg tablet(3) Other  	24484	25462
RH0016	IUD Copper T  380A Piece (50) Other  	403	0
RH0018	Female Organ Model (1) Other  	13	13
RH0021	Medroxyprogesterone Acetate 100mg tab (100) Other  	0	0
RH0023	Medroxyprogesterone Acetate 150mg/ml pwd for IM injection (25) Other  	305826	320698
RH0024	Ethinyloestradiol/Levonorgestrel 30mcg/150mcg tablet  cycle (1) Other  	1945	0
RH0025	Trocar  Sterile for Jadelle Insertion (10) Other  	172	0
RH0026	Levonorgestrel 1.5mg  tab (Emergency pill) (10) Other  	60	0
RH0027	Levonorgestrel 1.5mg  tab (Emergency pill) (1) Other  	1137	1137
RH0028	Etonogestrel (Implanon) 68mg/rod implant subdermal (1) Other  	92251	94697
RH0031	Etonogestrel (Implanon) 68mg/rod implant subdermal (10) Other  	14978	15179
RH0033	Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (200) Other  	352478	361576
RH0034	Medroxyprogesterone Acetate 104mg/0.65ml (Sayana ) SC inj (1) Other  	101746	110011
RH0042	Mifepristone Tablet 10mg(200) Other  	249	249
RH0043	Mifepristone Tablet 10mg(200) Other  	70	70
RH0046	Levonorgestrel 750mcg/rod Sub-dermal 3 Year Implant (10) Other  	2316	2318
RH0049	Levonorgestrel 52mg IUD (5) Other  	1621	2051
RH0050	Intra Uterine Devices (IUD) Copper T 90pcs Kit(1) Other  	6054	6317
RH0054	Misoprostal Tablets 200mcg (500) Other 200mcg tab	903	913
RH0055	Lubricating Gel  50mg (1) Other  	8621	8858
